Building,Room,Printer name
Anderson Library Conference Center,107G,NW_UPRN_LC107G_MFP1
Anderson Library Conference Center,120,NW_UPRN_LC120_MFP4
Anderson Library Conference Center,200,NW_UPRN_LC200_MFP2
Arts & Sciences,1010,NW_UPRN_AS1010_MFP2
Arts & Sciences,2021,NW_UPRN_AS2021_MFP1
Arts & Sciences,2080,NW_UPRN_AS2080_MFP1
Cedar Hall,116,NW_UPRN_CH116_MFP1
Dunes Medical/Professional Building,1115,NW_UPRN_MP1115_MFP1
Dunes Medical/Professional Building,1181,NW_UPRN_MP1181_MFP1
Dunes Medical/Professional Building,1190,NW_UPRN_MP1190_MFP2
Dunes Medical/Professional Building,2108,NW_UPRN_MP2108_MFP1
Dunes Medical/Professional Building,3102,NW_UPRN_MP3102_MFP1
Dunes Medical/Professional Building,3150,NW_UPRN_MP3150_MFP1
Dunes Medical/Professional Building,3188,NW_UPRN_MP3188_MFP1
Hawthorn Hall,199,NW_UPRN_HH199_MFP1
Hawthorn Hall,217F,NW_UPRN_HH217F_MFP1
Hawthorn Hall,299,NW_UPRN_HH299_MFP1
Hawthorn Hall,399,NW_UPRN_HH399_MFP1
Hawthorn Hall,499N,NW_UPRN_HH499N_MFP1
Hawthorn Hall,499W,NW_UPRN_HH499W_MFP1
Marram Hall,199,NW_UPRN_MH199_MFP1
Marram Hall,225,NW_UPRN_MH225_MFP1
Marram Hall,331,NW_UPRN_MH331_MFP1
Moraine Student Center,102,NW_UPRN_MS102_MFP2
Raintree Hall,199,NW_UPRN_RH199_MFP1
Savannah Center,233,NW_UPRN_SC233_MFP1
